"restaurantID","name","type","total_ordered","num_orders","longitude","latitude","first_order_date"
202,Razanou,Formel,4699625.00,110,-3.9475170,5.3284625,"2023-10-02"
203,Yvonne,Informel,13050.00,9,-3.9552484,5.3297554,"2023-10-02"
204,Restaurant Marthocy,Semi-Formel,4650.00,1,-3.9567300,5.3374550,"2023-10-02"
205,Mme Bregué,Informel,55475.00,13,-3.9555350,5.3297140,"2023-10-02"
206,Maman de Samira,Informel,653275.00,69,-3.9523920,5.3297390,"2023-10-02"
207,Chez Lisette,Informel,130500.00,4,,,"2023-10-02"
208,Gourmandise Resto,Formel,8820.00,3,-3.9787305,5.3443915,"2023-10-02"
209,Pizza Buzz,Semi-Formel,75737.00,19,-3.9884158,5.3614169,"2023-10-02"
210,Tarbouche,Formel,2462345.00,46,-3.9890748,5.3597706,"2023-10-02"
211,Maison Du Vin,Formel,719665.00,19,-3.9890748,5.3597706,"2023-10-02"
